providerId,name,credentialsArray,activeLicensures,languages,education,experience,specialtyAreas,specialtyCategories,introAndBackground,carePhilosophy,favoriteHobbies,favoriteFoods,imageUploaded
88,Kenya Powell,"RD, LD",SC Temp WI ME TX WI AZ,English,"Winthrop University, BS, Human Nutrition, 1999. South Carolina Department of Health and Environmental Control, Dietetic Internship, 2001",13 years of experience as a Registered Dietitian in Community Health and 5 years as a Clinical Dietitian.,Chronic Disease management and Pediatrics ages infant-children 1-5 years,"Chronic Conditions, Diabetes/Prediabetes, Pediatrics & Adolescents","Kenya is a South Carolina-based Registered Dietitian who is passionate about promoting disease prevention, disease management, and healthy food availability to improve healthy food choices. She has worked in both the community and clinical settings. She has 13 years of experience in nutrition counseling and providing healthy nutrition information to promote healthy behavioral changes to low income communities. She has worked in an acute care hospital and a rehabilitation hospital for over 7 years as a clinical dietitian.","I believe in client-centered counseling. I believe in meeting the individual where they are now in their nutrition habits, and then building from there, in order to meet their nutrition related goals. By doing so, individuals will be able to meet their goal successfully. I believe that by giving the right tools, strategies, and information to make positive changes in their lifestyles and eating habits, my patients can reach and maintain their nutrition and health goals successfully.",Fishing and reading,"Spinach, broccoli, catfish, salmon, white and sweet potatoes",TRUE
60,Denise DeVoe,RD,"NJ
ME

AZ",English,"Danbury Hospital, Dietetic Internship, 1996, Montclair State University, BS, Food and Nutrition- Dietetics, 1995",20 years of experience as a Registered Dietitian,"Wellness, Weight management, Diabetes, Chronic Disease, Geriatrics","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, Sports & Performance Nutrition","Denise is a Registered Dietitian with over 20 years of experience. She has an extensive background in food and nutrition and has worked in both clinical and business roles.  Denise’s great passion in life is health and fitness and helping others live a healthier lifestyle.  For the past 15 years, Denise has managed a successful nutrition consulting practice.","I believe that good nutrition does not have to be complicated. My approach is to help clients develop a mindful and healthy relationship with food. I work as a team with each client to create a highly individualized plan that makes sense for them with focus on their current lifestyle and food preferences, with special consideration of their financial and time constraints.","Traveling, hiking/backpacking, baking, watching baseball, spoiling my dog","Coffee, blueberries, almonds, avocado, pizza, chocolate chip cookies",TRUE
67,Kaleigh Tjoelker,"MS, RD","OH
GA
TX
AZ
OR


WI",English,"The Ohio State University, MS, Medical Dietetics, 2019; Berry College, BS, Exercise Science, 2016",2 years as a Registered Dietitian,"Weight Management, Diabetes, Intuitive Eating, Oncology, Plant Based Nutrition","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes",Kaleigh is a Georgia- based Registered Dietitian who is passionate about helping others improve their health and wellness with nutrition. She has worked with clients in the clinical and outpatient setting to provide individualized nutrition recommendations for prevention and management of chronic conditions and optimizing overall wellness. ,"My philosophy is that nutrition should be fun and simple. I believe that each client is unique, including their nutrition needs. I work with clients to understand their lifestyle and health goals so I can provide individualized nutrition recommendations that are realistic and evidence-based. I discourage restrictive diets and believe all foods have a place in a balanced, healthy diet. I encourage mindful and intuitive eating practices to help clients foster a healthy relationship with food.  ","Traveling, hiking, gardening, peloton workouts","Avocados, oatmeal, oranges, nachos, ice cream",TRUE
108,Jennifer Holden,RD,"WI
MN
IL
AZ",English,"Viterbo University, BS, Nutrition and Community Medical Dietetics, 2012",9 years of experience as a Registered Dietitian,"Weight Management, Corporate Wellness, Chronic Disease","Obesity & Weight Management, Diabetes/Prediabetes","Jennifer is a midwestern dietitian who is passionate about helping others make eating healthy, simple and fun.  She has worked as a grocery store dietitian for over seven years, guiding customers while they shop, providing nutrition education for disease states and helping busy families get healthy meals on the table in an affordable and enjoyable way.","I'm not a fan of diets, but creating healthy lifestyles that allow all foods in. I will work with you to figure out how to develop a positive relationship with food and balance your favorite things with healthy eating habits and exercise.","I enjoy hiking, gardening, cooking, crafts, but most of all playing with my kids","There are few foods I don't love, however, I am a big fan of dark chocolate",TRUE
104,Courtney Schand,"MS, RDN, LDN","TN

AZ",Engish,"The University of Tennessee, MS, Public Health Nutrition 2013; Tennessee Technological University, BS, Human Ecology, 2011 ",7 years of experience as a Registered Dietitian,"Wellness coaching, weight management, eating disorders","Obesity & Weight Management, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities","Courtney is a Tennessee native. Having studied human development for 13+ years professionally, she knows what it takes for humans to thrive. She worked as a Clinical Wellness Dietitian, coaching people to long term, actionable changes that are in line with their goals and values for 6+ years and is passionate about healthy relationships. She understands the interdependence of a person's ecosystem (the people in their lives, their habits, and their environment), and their health outcomes which lead to lasting impacts that can be acheived when we view ourselves in an ongoing relationship to our health and the people around us. ","I believe what we eat is only one part of the puzzle when it comes to managing health. Since we are multi-faceted, as humans, our preferences, experiences and goals need to be at the forefront of building a lifestyle change that will be sustainable. Your nutrition doesn't have to be ""perfect"" to create sizeable changes as long as it's a good fit for you. I bring a lens of intuitive eating to help clients have a healthy relationship with food while they create the results they desire. ","Gardening, cooking, walking, refinishing furniture, flowers",Nachos,TRUE
127,Miriam Christie,"MS, RD, LD, ABD","TN
Temp IL
Temp WI
SC
TX
CA
KY


",English,"University of California Davis (1996) Graduate Degree, Nutrition Molecular Biology
University of California Davis (1992) Graduate Degree, Nutrition Immunology
University of Guelph (1990) Undergraduate Degree, Biochemical Nutrition",23 years of experience as a Registered Dietitian,"Weight Management, Diabetes, Chronic Disease, Pediatrics
Bariatric Medicine, Cardiac Nutrition, Diabetes and Pre Diabetes Nutrition, Renal, Gastrointestinal Issues, General Wellness, Gerontological Nutrition, Oncology Nutrition- Cancer Prevention, Oncology Nutrition- Cancer Treatment Management, Postpartum Nutrition,Prenatal Nutrition, Preventive Medicine, Corporate Wellness","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities, Pediatrics & Adolescents","As a Registered Dietitian, Miriam is focused on promoting health and wellness. She has worked extensively in the field of nutrition research and education, teaching and developing nutrition education courses for various educational/interest levels. As a dietitian, Miriam has had the experience of working in a variety of settings, and has directed her focus to Adult, Geriatric and pediatric populations in both the Home and Hospice settings.
Through her Consulting services, she provides nutrition education and/or exercise consultations to help her clients lead a higher quality of life. Her sessions are tailored to meet the needs of the client, and include a variety of populations including: general health and wellness, weight loss, renal disease, cardiovascular disease, diabetes and cancer, GI disorders, eating disorders (anorexia, bulimia), and weight management.","I am a huge proponent of “healthy eating” as opposed to conventional dieting as the best way to reach your desired weight and nutrition goals. Balance, variety, and moderation is the focus of sustainable nutrition.  MY goal is to help you reach YOUR goal. The word eliminate is not a part of my vocabulary.  My approach to helping you reach your nutrition goal is to help develop a plan that will be a part of your healthy lifestyle for the rest of your life.","Hiking, Swimming, Baseball",Yogurt parfait,TRUE
113,Deanna Crismon,"MS, RDN, LD","GA
AZ","English, Spanish (beginner)","University of Western States, MS, Human Nutrition and Functional Medicine, 2016; Georgia Department of Public Health, Dietetic Internship, Community Nutrition, 2009; Northern Arizona University, BS, Nutrition and Dietetics, 2000",11 years of experience as a Registered Dietitian,"Food Allergies, Autoimmune Disorders, Detoxification, GI imbalance, Pediatric, Children, Prenatal and Breastfeeding","Chronic Conditions, GI & Digestive Health; Food Sensitivities, Sports & Performance Nutrition, Pediatrics & Adolescents","Deanna is a Registered Dietitian that lives on a small family farm in Woodstock, Georgia. Deanna is an experienced Dietitian that has worked in the Nutrition field for over twenty one years. Throughout her career she has worked with a variety of clients from infants, children, those with autism, athletes, prenatals, breastfeeding mothers, those with eating disorders, food allergies and autism and those in hospice care. She is passionate about the knowledge of nutrition and how we can use food to help create vitality, health, and well being.  ","I believe that the use of food can nourish our bodies and help create a life of vitality, joy and well being. I love working with and getting to know my clients. I believe this relationship creates a trusting partnership, which allows us to work together to create a plan to help support the patients health goals. As we go through life, our seasons change, as do our nutritional needs and I am excited to work with you to help you meet your goals.","Running, water-skiing, gardening, cooking, dancing, camping, playing with my family","Any kind/type of salad and homemade soups are my fave, but I am not picky one bit.",TRUE
123,Nicole Holness,"MS, RD, CDN, IBCLC",NY,English,"Natural Gourmet Institute, Culinary Diploma 2019
New York University, MS Clinical Nutrition and Dietetics 2007
Youngstown State University, BS, Food and Nutrition 2005",,"Weight management, Diabetes, Cardiovascular conditions, GI, Women's health,  Infant Nutrition","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities, Pediatrics & Adolescents","Nicole Holness is a New York City based Registered Dietitian Nutritionist. With more than a decade of clinical-nutrition roles and working in the largest hospitals throughout NYC, Nicole has developed extensive nutritional knowledge to support a variety of nutrition-related issues.

In addition, her passion for food has prompted her to attain a culinary degree. Nicole is very passionate about delicious yet healthy cooking and ingredients, where she can help you make delicious dishes and develop healthy behaviors to support your health goals. If you are looking to have more variety on your plate and take the guesswork on what to eat, you’ve come to the right page.","There is no one size fit all diet. Her approach to nutrition is individualized and catered to your unique needs. Nicole will build a strategy for you. Through guided collaboration, together, she will customize your sustainable plan.

With over a decade’s experience, backed by evidence-based practice you can trust, and designed to improve your health. Whether it is to manage your weight, improve blood sugar, your cholesterol, your digestive health, other clinical nutrition concerns, or wellness; Nicole has got you covered.","Traveling, road trips, music, singing, cooking, reading and learning something new",Most things curry,TRUE
139,Stacey Weichelt,"RD, CD","WI
AZ
TX
IL",English,"Viterbo University, Dietetic Internship, 2008; University of Wisconsin-Stout, Dietetics, 2006",12 years experience as a Registered Dietitian,"Child and Adolescent Weight Management, Pediatrics, Adult Weight Management, Corporate Wellness, Geriatrics","Obesity & Weight Management, Pediatrics & Adolescents","Stacey is a Wisconsin-based Registered Dietitian who has a passion for child and adolescent nutrition, health promotion, prevention and managements in adults and modifying recipes to make eating health easier.  She has experience working in clinical (hospital and long term care) and over twelve years in child nutrition.","
I don't believe that there is a ""one size fits all"" diet.  Each person is unique in their own way.  I am here to help set up reasonable goals that are obtainable for each person or child.  I look at eating habits, lifestyle, physical activity and medical conditions.  We will work together to create a plan that makes you excited to wake up each morning and start the day.  To ensure your success, I will be here to help you every step of the way.   ","I love going for walks, snowshoeing, camping, biking, reading, modifying and testing new recipes, and spending time with my family.  ","Chicken stir fry, squash, tomato sandwiches, grilled ham and cheese and almost any kind of soups and salad.",TRUE
154,Grace Chao,"MS, RDN, LDN","IL
VT
TX
OK
NY
","English, spoken Cantonese and Mandarin","University of Illinois at Chicago, MS, Coordinated Program in Nutrition, 2013; University of Notre Dame, BA, Economics, 2009",6 years of experience as a Registered Dietitian,Weight Management and Chronic Disease,"Obesity & Weight Management, Chronic Conditions","Grace is an Illinois-based Registered Dietitian who is passionate about supporting clients in their journey towards better health. She has counseled clients on a variety of topics. These topics include weight management, chronic kidney disease, heart disease, diabetes, liver disease, and altered gastrointestinal function.","Everyone's lifestyle and health goals are unique. I believe that attainable and sustainable nutrition habits need to be personalized, because there is no diet that fits all. Let's work together to create a nutrition plan that meets your needs!","Creating healthier versions of comfort recipes, spending time with family, helping translate Chinese dramas into English","All types of fruits, including persimmons, melons, papaya, and mango. All types of desserts. Pizza, lasagna, sushi, dim sum, Bibimbap, butternut squash soup, etc. I like food, so the list is endless.",TRUE
147,Debra Krueger,"RDN, CD, IBCLC","WI
IL
TX


AZ",English,"University of Wisconsin-Green Bay, Dietetic Internship, 2004; University of Wisconsin-Stevens Point, BS, Dietetics, 2003",17 years of experience as a Registered Dietitian,"Weight management, Diabetes, Heart Disease, Prenatal and Postpartum Nutrition, Infant and Child Nutrition","Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, Pediatrics & Adolescents","Debra is a Registered Dietitian based out of Central Wisconsin. She is passionate about wellness, especially in using food to prevent and treat chronic disease and in helping families to establish healthy habits.  She has worked in a variety of outpatient clinics, including a diabetes clinic, WIC, and a fitness center; guiding clients to reach their goals through meal planning, nutrition education, and accountability. She loves to try new recipes and finds joy in connecting with people over food, family, and health. ","I believe that small, incremental changes in eating can lead to long-term, healthy habits. I believe that we can teach our bodies to enjoy and even prefer foods that nourish us.  I know that healthy habits and stronger relationships are built when families enjoy the same foods at meals together. I will consider your goals, eating preferences, time constraints, lifestyle and desire (or lack of desire) to cook as we come up with your eating plan.  I would love to walk through your health journey with you to help you create the life you envision!","Reading, gardening, cooking, walking my dog, and playing games with my family","Homemade pizza, salad, and every kind of fruit",TRUE
138,Rose Tan,RD,CA NY,"English, Chinese","University of New Hampshire, Dietetic Internship, Health Promotion & Wellness, 2019; University of California, Davis, BS, Clinical Nutrition, 2017; University of California, Davis, BS, Psychology, 2017",1 year of experience as a Registered Dietitian,"Weight management, Corporate Wellness, Chronic Conditions, Geriatrics","Obesity & Weight Management, Chronic Conditions","Rose is a Bay Area-based Registered Dietitian who is fluent in English and Chinese. She is passionate about promoting health promotion and disease prevention. She has experience in clinical, community, and corporate wellness settings as well as working with diverse populations with a variety of health conditions.","I don’t believe that there is one diet that fits everyone . I believe in meeting clients and patients where they are at to help make attainable and sustainable changes. There are no ""good"" or ""bad"" foods. Let's work together to develop a plan that works with your lifestyle! ","Spending time with friends and family, outdoor activities, and trying new foods","Fruits, vegetables, popcorn, seafood, dark chocolate",TRUE
172,Kristen Bowman,"RD, LD","OR
AZ",English,"Oregon State University, BS Nutrition and Food Management, 2006; Massachusetts General Hospital, Dietetic Internship, 2007",14 years experience as a Registered Dietitian,"Weight management, Chronic Disease, Geriatrics","Obesity & Weight Management, Chronic Conditions","Kristen is a Registered Dietitian native to the Northwest.  She is passionate about helping clients improve their relationship with food, so they can live their best lives. She has spent her career working in the clinical field, assisting clients in preventing and managing chronic diseases. ",I help clients figure out their goals and support them in loving food while they get there. There is no one size fits all for nutrition.  I meet clients where they are! ,"Hiking, watching comedy shows, snuggling with my kids and pets ","Parmesan cheese, meatballs, pasta, tacos",TRUE
146,Alicia Cost,"MS, RDN, LDN","FL
NC
TN
TX
AZ",English,"Arizona State University, MS, Dietetics, 2018; Oakland County Health Department, Dietetic Internship 1990; Michigan State University, BS, Dietetics, 1989",32 years of experiences as a Registered Dietitian,"Weight management, Intuitive Eating, Prediabetes, PCOS, Sports Performance Nutrition","Obesity & Weight Management, Diabetes/Prediabetes, Sports & Performance Nutrition","Alicia is a Florida based Licensed Registered Dietitian who has over 30 years experience providing nutrition education and positive support for many individuals and groups in the life cycle spectrum.  She has worked in community, schools and non-profit health agencies where her experience in translating clinical nutrition knowledge into real applicable programs and processes has lead to actionable practices and positive outcomes in the communities she lives.","I am a dietitian who believes that each individual is unique and many people need support to find the best way to nourish their bodies for life long health.  I take a realistic approach with patients in determining what habits need to be addressed by focusing on where they are at in their wellness journey: cooking, eating, physical activity and lifestyle habits.  I work with folks to find that place where their happiness meets their healthiness so that their new habits are made for a lifetime.  ","Cooking, Hiking, Pickleball, Sailing and Reading","Salsa, Seafood, Any kind of Salad",TRUE
158,Leslie White,"MPH, RD, CSOWM","AZ
ME",English,"East Stroudsburg University, MPH, 2014; New York Institute of Technology,  Dietetic Internship, 2006; University of Maine, MS, Food Science and Human Nutrition, 2004",16 years of experience as a Registered Dietitian,Weight Management,"Obesity & Weight Management, Chronic Conditions, Diabetes/Prediabetes, GI & Digestive Health; Food Sensitivities","Leslie is a Registered Dietitian - Nutritionist  practicing in Maine. She specializes in clinical nutrition and weight management.  She is passionate about developing customized goals with her clients,  to help them improve health and overall wellness. She has been a Registered Dietitian for over 15 years, with a Masters degree in Public Health. She is a Certified Specialist in weight management and brings these skills, and an enthusiasm for food to her sessions with clients. ","Everyone has unique health needs and so there is no single diet that works for everyone. I believe in a collaborative approach to establishing individual nutrition  and health goals for each client. I work with patients to make changes that attainable, based on their history, food preferences and desired health outcomes. I feel strongly that food can be medicine, and health begins with the foundations we will set up together. ","Hiking, Running, Fly Fishing, Yoga, Gardening, Baking, and adventuring with my dogs.  ","Almond Croissants (and all french pastries really),  Maine seafood, Onion rings, Sushi,  Mexican food",TRUE
